ID,Title,Type,Authors,Institutions
,"Structural elucidation of a novel pyrrolizidine alkaloid isolated from Crotalaria retusa L.",,"Bryan Nickson Santana Pinto;, Gabriella Almeida  Moura;, Antonio Demuner;, Elson Santiago Alvarenga;","Departamento de Química / Centro de Ciências Exatas e Tecnológicas / Universidade Federal de Viçosa - Campus Viçosa, Departamento de Química / Centro de Ciências Exatas e Tecnológicas / Universidade Federal de Viçosa - Campus Viçosa, Departamento de Química / Centro de Ciências Exatas e Tecnológicas / Universidade Federal de Viçosa - Campus Viçosa, Departamento de Química / Centro de Ciências Exatas e Tecnológicas / Universidade Federal de Viçosa - Campus Viçosa"
,"INVERSE LAPLACE TRANSFORM FOR SIGNAL ANALYSIS OF LOW FIELD NUCLEAR MAGNETIC RESONANCE",,"Tiago   Bueno de Moraes;","Departamento de Química  / Instituto de Ciências Exatas  / Universidade Federal de Minas Gerais"
,"FAST DETERMINATION OF 2D AND PSEUDO-2D T1-T2 CORRELATION USING CWFP AND DECPMG METHODS",,"Tatiana Monaretto;, Luiz Alberto Colnago;, Tiago   Bueno de Moraes;","Centre national de la recherche scientifique (CNRS), Empresa Brasileira de Pesquisa Agropecuária, Departamento de Química  / Instituto de Ciências Exatas  / Universidade Federal de Minas Gerais"
,"Is NMR Sensitive Enough to Analyze Unconcentrated Wastewater? Direct, Real-time Monitoring of Ozone and UV Treated Wastewater Using Flow NMR",,"Katelyn Downey;, Bing Wu;, Rudraksha Majumdar;, Daniel Lysak;, Rajshree Ghosh Biswas;, Maryam  Tabatabaei-Anaraki;, Amy Jenne;, Xiang You;, Ronald Soong;, Daniel Lane;, Paul Helm;, Anna Codina;, Venita Decker;, Falko Busse;, Myrna Simpson;, Andre Simpson;","Department of Physical and Environmental Sciences / Environmental NMR Centre / University of Toronto, Environmental NMR Centre / University of Toronto, Synex Medical, Chemistry / Scarborough Campus / University of Toronto, Department of Physical and Environmental Science / Scarborough Campus / University of Toronto, Chemistry / Environmental NMR Centre / University of Toronto, Chemistry / Scarborough Campus / University of Toronto, Environmental NMR Centre / University of Toronto, Department of Physical and Environmental Science / Scarborough Campus / University of Toronto, Environmental NMR Centre / University of Toronto, Environmental Monitoring & Reporting Branch / Ontario Ministry of the Environment, Bruker, Bruker, Bruker, Department of Physical and Environmental Sciences / Scarborough Campus / University of Toronto, University of Toronto"
,"METABOLOMICS OF BOVINE MILK PROCESSSED BY UV-C LIGHT",,"Banny S. B. Correia;, Pollyana Ferreira da Silva Vianna;, Caroline Ceribeli;, Luiz Alberto Colnago;, Daniel Cardoso;","Instituto de Química de São Carlos  / Universidade de São Paulo, Instituto de Química de São Carlos  / Universidade de São Paulo, Instituto de Química de São Carlos/ Universidade de São Paulo, Empresa Brasileira de Pesquisa Agropecuária, Instituto de Química de São Carlos  / Universidade de São Paulo"
,"EVALUATION OF METABOLOMIC DIFFERENCES IN CITRUS FRUITS AS A FUNCTION OF SPECIES AND DEGREE OF RIPENESS USING 1H NMR AND CHEMOMETRICS",,"Enya Silva de Oliveira;, Luciano Morais Lião;, Gerlon de Almeida Ribeiro Oliveira;","Institute of Chemistry/Federal University of Goiás, Institute of Chemistry/Federal University of Goiás, Institute of Chemistry/Federal University of Goiás"
,"ROUTE SCOUTING OF THE LUNATIN-FOLATE CONJUGATE PEPTIDE ",,"Amanda de Souza;, Rodrigo Verly;","Universidade Federal dos Vales do Jequitinhonha e Mucuri, Universidade Federal dos Vales do Jequitinhonha e Mucuri"
," Filtered Nuclear Magnetic Resonance for in-vivo analysis",,"Daniel Lysak;, FLAVIO VINICIUS CRIZOSTOMO  KOCK;, Salvatore Mamone;, Stefan Glöggler;, Ronald Soong;, Andre Simpson;","Chemistry / Scarborough Campus / University of Toronto, Universidade Federal de São Carlos, Biophysical Chemistry / Max Planck Institute / Max Planck Institute for Biophysical Chemistry, Biophysical Chemistry / Max Planck Institute / Max Planck Institute for Biophysical Chemistry, Department of Physical and Environmental Science / Scarborough Campus / University of Toronto, University of Toronto"
,"NMR TO GREEN CHEMISTRY: ARE PURIFICATION STEPS REALLY NECESSARY FOR STRUCTURAL ELUCIDATION? ",,"Kennedy  Daniel  de Carvalho Santos;, Guilherme Dal Poggetto;, Cláudio Francisco Tormena;","Universidade Estadual de Campinas, Universidade Estadual de Campinas, Universidade Estadual de Campinas"
,"MRI DENOISING AND COMPUTATIONAL HEMODYNAMICS OF BRAIN ARTERIES",,"Gustavo  Solcia;, Caio de Jesus Oliveira;, Rafael Henrique Ferreira da Silva;, Felipe Ferraz Derrico;, Fernando Fernandes Paiva;","Universidade de São Paulo, Universidade de São Paulo, Universidade de São Paulo, Universidade de São Paulo, Instituto de Física de São Carlos"
,"1H NMR AS A SIMPLE METHODOLOGY FOR BARN VS. FREE-RANGE CHICKEN  EGGS DIFFERENTIATION",,"Pedro Henrique Soares Cardoso;, Luciano Morais Lião;, Enya Silva de Oliveira;, Gerlon de Almeida Ribeiro Oliveira;","Universidade Federal de Goiás, Universidade Federal de Goiás, Institute of Chemistry/Federal University of Goiás, Instituto de Química / Universidade Federal de Goiás"
